"","","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Number of deaths among children under-five","Number of deaths among children under-five","Number of deaths among children under-five"
"Countries, territories and areas","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Anguilla"," 2021","4.05 [1.92-8.52]","4.01 [1.91-8.44]","4.06 [1.91-8.59]","1 [0-1]","0 [0-1]","1 [0-1]"
"Anguilla"," 2020","4.18 [2.03-8.62]","4.15 [2.01-8.55]","4.21 [2.03-8.68]","1 [0-1]","0 [0-1]","1 [0-1]"
"Anguilla"," 2019","4.33 [2.13-8.72]","4.28 [2.11-8.64]","4.39 [2.15-8.86]","1 [0-1]","0 [0-1]","1 [0-1]"
"Anguilla"," 2018","4.49 [2.27-8.83]","4.43 [2.25-8.72]","4.54 [2.29-8.96]","1 [0-1]","0 [0-1]","1 [0-1]"
"Anguilla"," 2017","4.64 [2.41-8.96]","4.55 [2.37-8.77]","4.73 [2.44-9.11]","1 [0-1]","0 [0-1]","1 [0-1]"
"Anguilla"," 2016","4.8 [2.56-9.08]","4.73 [2.53-8.93]","4.88 [2.6-9.19]","1 [0-1]","0 [0-1]","1 [0-1]"
"Anguilla"," 2015","4.97 [2.72-9.1]","4.88 [2.68-8.98]","5.05 [2.78-9.26]","1 [0-1]","0 [0-1]","1 [0-1]"
"Anguilla"," 2014","5.14 [2.91-9.19]","5.03 [2.84-9]","5.25 [2.97-9.38]","1 [0-1]","0 [0-1]","1 [0-1]"
"Anguilla"," 2013","5.33 [3.09-9.28]","5.21 [3-9.06]","5.48 [3.17-9.58]","1 [1-2]","0 [0-1]","1 [0-1]"
"Anguilla"," 2012","5.55 [3.31-9.42]","5.39 [3.21-9.14]","5.72 [3.39-9.71]","1 [1-2]","0 [0-1]","1 [0-1]"
"Anguilla"," 2011","5.79 [3.54-9.52]","5.65 [3.45-9.3]","5.93 [3.62-9.82]","1 [1-2]","0 [0-1]","1 [0-1]"
"Anguilla"," 2010","6.05 [3.8-9.71]","5.91 [3.71-9.47]","6.21 [3.88-9.97]","1 [1-2]","1 [0-1]","0 [0-1]"
"Anguilla"," 2009","6.34 [4.03-9.94]","6.18 [3.95-9.72]","6.49 [4.13-10.21]","1 [1-2]","1 [0-1]","0 [0-1]"
"Anguilla"," 2008","6.62 [4.3-10.28]","6.52 [4.24-10.13]","6.71 [4.35-10.44]","1 [1-2]","1 [0-1]","0 [0-1]"
"Anguilla"," 2007","6.91 [4.55-10.63]","6.89 [4.5-10.59]","6.97 [4.56-10.71]","1 [1-2]","1 [0-1]","0 [0-1]"
"Anguilla"," 2006","7.23 [4.78-11]","7.29 [4.81-11.1]","7.17 [4.74-10.94]","1 [1-2]","1 [0-1]","0 [0-1]"
"Anguilla"," 2005","7.56 [5.03-11.4]","7.68 [5.1-11.59]","7.44 [4.94-11.24]","1 [1-2]","1 [0-1]","0 [0-1]"
"Anguilla"," 2004","7.92 [5.28-11.88]","8.04 [5.35-12.07]","7.79 [5.2-11.72]","1 [1-2]","1 [0-1]","0 [0-1]"
"Anguilla"," 2003","8.31 [5.55-12.35]","8.47 [5.66-12.58]","8.13 [5.42-12.11]","1 [1-2]","1 [0-1]","0 [0-1]"
"Anguilla"," 2002","8.71 [5.86-12.87]","8.88 [5.98-13.13]","8.5 [5.7-12.6]","1 [1-2]","1 [1-1]","0 [0-1]"
"Anguilla"," 2001","9.12 [6.2-13.41]","9.33 [6.31-13.74]","8.9 [6.04-13.14]","2 [1-2]","1 [1-1]","1 [1-1]"
"Anguilla"," 2000","9.57 [6.57-13.97]","9.82 [6.73-14.32]","9.3 [6.38-13.62]","2 [1-2]","1 [1-1]","1 [1-1]"
"Anguilla"," 1999","10.07 [6.97-14.55]","10.34 [7.15-14.95]","9.77 [6.78-14.22]","2 [1-2]","1 [1-1]","1 [1-1]"
"Anguilla"," 1998","10.59 [7.4-15.17]","10.9 [7.61-15.65]","10.27 [7.17-14.78]","2 [1-2]","1 [1-1]","1 [1-1]"
"Anguilla"," 1997","11.16 [7.86-15.85]","11.49 [8.1-16.36]","10.79 [7.62-15.39]","2 [1-3]","1 [1-1]","1 [1-1]"
"Anguilla"," 1996","11.75 [8.38-16.56]","12.11 [8.62-17.07]","11.38 [8.11-16.07]","2 [1-3]","1 [1-1]","1 [1-1]"
"Anguilla"," 1995","12.42 [8.94-17.35]","12.84 [9.21-17.89]","12.01 [8.62-16.77]","2 [1-3]","1 [1-1]","1 [1-1]"
"Anguilla"," 1994","13.18 [9.52-18.19]","13.61 [9.85-18.88]","12.71 [9.18-17.56]","2 [1-3]","1 [1-1]","1 [1-1]"
"Anguilla"," 1993","13.99 [10.14-19.22]","14.47 [10.5-19.91]","13.48 [9.73-18.54]","2 [2-3]","1 [1-2]","1 [1-1]"
"Anguilla"," 1992","14.83 [10.73-20.47]","15.36 [11.09-21.21]","14.28 [10.31-19.74]","2 [2-3]","1 [1-2]","1 [1-1]"
"Anguilla"," 1991","15.78 [11.31-21.98]","16.38 [11.76-22.83]","15.13 [10.82-21.12]","2 [2-3]","1 [1-2]","1 [1-2]"
"Anguilla"," 1990","16.77 [11.85-23.75]","17.49 [12.37-24.73]","16.01 [11.3-22.71]","3 [2-4]","1 [1-2]","2 [1-2]"
"Anguilla"," 1989","17.84 [12.33-25.83]","18.68 [12.92-26.96]","16.98 [11.67-24.58]","","",""
"Anguilla"," 1988","19 [12.81-28.24]","19.95 [13.4-29.68]","17.99 [12.06-26.8]","","",""
"Anguilla"," 1987","20.21 [13.19-31.17]","21.32 [13.87-32.85]","19.07 [12.4-29.47]","","",""
"Anguilla"," 1986","21.53 [13.5-34.65]","22.78 [14.25-36.66]","20.18 [12.63-32.52]","","",""
"Anguilla"," 1985","22.88 [13.64-38.81]","24.25 [14.4-41.17]","21.5 [12.79-36.35]","","",""
"Antigua and Barbuda"," 2021","6.14 [4-9.52]","6.61 [4.31-10.22]","5.64 [3.67-8.8]","7 [4-11]","4 [2-6]","3 [2-5]"
"Antigua and Barbuda"," 2020","6.36 [4.31-9.47]","6.85 [4.63-10.22]","5.85 [3.94-8.71]","7 [5-10]","4 [3-6]","3 [2-5]"
"Antigua and Barbuda"," 2019","6.59 [4.65-9.43]","7.12 [5.01-10.22]","6.03 [4.24-8.64]","7 [5-10]","4 [3-5]","3 [2-4]"
"Antigua and Barbuda"," 2018","6.84 [5.01-9.43]","7.4 [5.38-10.19]","6.25 [4.56-8.65]","7 [5-10]","4 [3-5]","3 [2-4]"
"Antigua and Barbuda"," 2017","7.12 [5.37-9.43]","7.69 [5.78-10.21]","6.52 [4.9-8.68]","8 [6-10]","5 [3-6]","3 [3-5]"
"Antigua and Barbuda"," 2016","7.43 [5.79-9.49]","8.02 [6.23-10.29]","6.8 [5.27-8.76]","8 [6-10]","4 [3-6]","4 [3-5]"
"Antigua and Barbuda"," 2015","7.75 [6.24-9.59]","8.38 [6.72-10.39]","7.1 [5.68-8.86]","9 [7-11]","5 [4-6]","4 [3-5]"
"Antigua and Barbuda"," 2014","8.13 [6.72-9.78]","8.81 [7.23-10.63]","7.41 [6.09-9.01]","9 [8-11]","5 [4-6]","4 [3-5]"
"Antigua and Barbuda"," 2013","8.55 [7.23-10.06]","9.27 [7.79-10.95]","7.79 [6.56-9.26]","10 [8-12]","6 [5-6]","4 [4-5]"
"Antigua and Barbuda"," 2012","9.02 [7.78-10.43]","9.8 [8.4-11.39]","8.2 [7.02-9.57]","11 [10-13]","6 [5-7]","5 [4-6]"
"Antigua and Barbuda"," 2011","9.53 [8.31-10.9]","10.35 [8.96-11.9]","8.66 [7.5-10.02]","12 [10-14]","7 [6-8]","5 [5-6]"
"Antigua and Barbuda"," 2010","10.06 [8.82-11.46]","10.92 [9.51-12.48]","9.14 [7.95-10.51]","13 [12-15]","7 [6-8]","6 [5-7]"
"Antigua and Barbuda"," 2009","10.6 [9.33-12.04]","11.54 [10.08-13.16]","9.63 [8.4-11.02]","15 [13-17]","8 [7-9]","7 [6-8]"
