"","","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Number of deaths among children under-five","Number of deaths among children under-five","Number of deaths among children under-five"
"Countries, territories and areas","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Afghanistan"," 2021","55.66 [40.83-74.24]","59.12 [43.41-78.9]","52.17 [38.22-69.63]","77 811 [57 191-103 663]","42 320 [31 191-56 472]","35 491 [26 087-47 371]"
"Afghanistan"," 2020","57.8 [43.81-74.31]","61.09 [46.28-78.87]","54.18 [41.01-69.78]","79 117 [60 064-101 643]","42 943 [32 566-55 314]","36 174 [27 388-46 486]"
"Afghanistan"," 2019","59.92 [46.75-74.78]","63.31 [49.44-79.11]","56.28 [43.9-70.39]","80 677 [63 044-100 559]","43 750 [34 195-54 593]","36 927 [28 833-46 111]"
"Afghanistan"," 2018","62.17 [49.99-75.43]","65.56 [52.71-79.87]","58.66 [46.95-71.17]","82 306 [66 235-99 727]","44 516 [35 852-54 197]","37 790 [30 290-45 817]"
"Afghanistan"," 2017","64.58 [53.31-76.59]","68.06 [55.91-80.98]","60.96 [50.33-72.41]","84 127 [69 532-99 672]","45 493 [37 439-54 069]","38 634 [31 944-45 859]"
"Afghanistan"," 2016","67.25 [56.79-78.44]","70.75 [59.48-82.48]","63.63 [53.57-74.35]","86 617 [73 260-100 917]","46 779 [39 394-54 501]","39 838 [33 616-46 497]"
"Afghanistan"," 2015","70.17 [60.38-80.55]","73.67 [63.22-84.71]","66.6 [57.16-76.7]","88 672 [76 421-101 655]","47 800 [41 113-54 928]","40 872 [35 152-47 037]"
"Afghanistan"," 2014","73.38 [64.13-83]","76.83 [67.05-87.22]","69.73 [60.79-79.27]","90 252 [78 985-101 956]","48 576 [42 447-55 078]","41 676 [36 377-47 320]"
"Afghanistan"," 2013","76.77 [68.15-85.8]","80.2 [71.12-89.92]","73.17 [64.71-82.13]","92 148 [81 903-102 858]","49 498 [43 940-55 437]","42 650 [37 783-47 815]"
