"","","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Number of deaths among children under-five","Number of deaths among children under-five","Number of deaths among children under-five"
"Countries, territories and areas","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Albania"," 2021","9.46 [8.72-10.25]","10.16 [9.33-11.05]","8.72 [8-9.51]","279 [257-302]","155 [143-169]","124 [114-135]"
"Albania"," 2020","9.44 [8.87-10.03]","10.14 [9.48-10.83]","8.69 [8.1-9.31]","281 [264-299]","156 [147-168]","125 [116-134]"
"Albania"," 2019","9.39 [8.94-9.86]","10.09 [9.56-10.66]","8.65 [8.15-9.16]","284 [271-298]","158 [150-167]","126 [119-133]"
"Albania"," 2018","9.34 [8.96-9.75]","10.04 [9.57-10.55]","8.61 [8.18-9.07]","291 [279-303]","162 [155-170]","129 [122-136]"
"Albania"," 2017","9.34 [8.97-9.71]","10.03 [9.57-10.49]","8.61 [8.19-9.04]","301 [289-313]","168 [160-176]","133 [127-140]"
"Albania"," 2016","9.4 [9.04-9.76]","10.11 [9.66-10.56]","8.65 [8.24-9.07]","314 [302-326]","176 [168-184]","138 [132-145]"
"Albania"," 2015","9.58 [9.22-9.94]","10.3 [9.86-10.76]","8.81 [8.41-9.23]","331 [318-343]","186 [178-194]","145 [139-152]"
"Albania"," 2014","9.92 [9.56-10.29]","10.72 [10.28-11.2]","9.08 [8.67-9.5]","350 [337-363]","197 [189-206]","153 [146-160]"
"Albania"," 2013","10.46 [10.1-10.85]","11.34 [10.88-11.82]","9.54 [9.12-9.97]","371 [358-384]","210 [202-219]","161 [154-168]"
"Albania"," 2012","11.21 [10.83-11.61]","12.22 [11.74-12.75]","10.15 [9.71-10.61]","395 [381-409]","225 [217-235]","170 [162-177]"
"Albania"," 2011","12.17 [11.77-12.57]","13.32 [12.82-13.86]","10.96 [10.49-11.42]","426 [412-440]","244 [236-255]","182 [174-189]"
"Albania"," 2010","13.29 [12.86-13.71]","14.61 [14.08-15.18]","11.88 [11.38-12.39]","465 [450-480]","269 [260-280]","196 [189-205]"
"Albania"," 2009","14.49 [14.05-14.94]","16.02 [15.46-16.62]","12.87 [12.35-13.4]","512 [497-528]","297 [288-310]","215 [207-224]"
"Albania"," 2008","15.76 [15.3-16.23]","17.58 [16.96-18.22]","13.85 [13.29-14.41]","570 [553-587]","334 [323-347]","236 [227-246]"
"Albania"," 2007","17.1 [16.59-17.63]","19.21 [18.53-19.92]","14.89 [14.3-15.52]","643 [623-662]","379 [367-395]","264 [254-276]"
"Albania"," 2006","18.52 [17.92-19.13]","20.88 [20.08-21.7]","16.04 [15.36-16.74]","736 [712-760]","436 [421-455]","300 [289-314]"
"Albania"," 2005","19.98 [19.21-20.77]","22.57 [21.55-23.61]","17.25 [16.43-18.11]","847 [814-880]","503 [482-528]","344 [330-363]"
"Albania"," 2004","21.46 [20.41-22.54]","24.2 [22.88-25.55]","18.58 [17.54-19.71]","967 [920-1 016]","572 [543-606]","395 [374-421]"
"Albania"," 2003","22.93 [21.52-24.38]","25.82 [24.09-27.59]","19.9 [18.54-21.36]","1 090 [1 023-1 159]","643 [603-690]","447 [418-482]"
"Albania"," 2002","24.38 [22.57-26.27]","27.37 [25.22-29.61]","21.22 [19.55-23.07]","1 228 [1 136-1 323]","721 [666-782]","507 [469-553]"
"Albania"," 2001","25.8 [23.63-28.12]","28.88 [26.35-31.59]","22.53 [20.54-24.73]","1 388 [1 272-1 513]","810 [741-888]","578 [528-636]"
"Albania"," 2000","27.18 [24.68-29.91]","30.36 [27.47-33.51]","23.82 [21.52-26.38]","1 557 [1 414-1 714]","905 [820-1 001]","652 [590-724]"
"Albania"," 1999","28.55 [25.75-31.63]","31.82 [28.64-35.39]","25.1 [22.51-27.99]","1 728 [1 559-1 915]","1 001 [903-1 116]","727 [654-813]"
"Albania"," 1998","29.89 [26.85-33.35]","33.29 [29.79-37.19]","26.34 [23.53-29.56]","1 909 [1 714-2 130]","1 102 [989-1 234]","807 [722-908]"
"Albania"," 1997","31.22 [27.94-34.96]","34.68 [31-38.94]","27.59 [24.54-31.09]","2 111 [1 889-2 364]","1 215 [1 088-1 366]","896 [799-1 012]"
"Albania"," 1996","32.53 [29.07-36.43]","36.07 [32.12-40.51]","28.79 [25.57-32.46]","2 310 [2 065-2 587]","1 325 [1 182-1 490]","985 [875-1 111]"
"Albania"," 1995","33.8 [30.17-37.89]","37.38 [33.23-42.1]","29.99 [26.62-33.8]","2 477 [2 210-2 776]","1 416 [1 260-1 596]","1 061 [942-1 195]"
"Albania"," 1994","35.03 [31.29-39.31]","38.7 [34.42-43.62]","31.17 [27.64-35.14]","2 613 [2 334-2 931]","1 492 [1 328-1 683]","1 121 [996-1 265]"
"Albania"," 1993","36.29 [32.4-40.73]","40.1 [35.62-45.21]","32.31 [28.59-36.41]","2 764 [2 468-3 101]","1 579 [1 405-1 782]","1 185 [1 051-1 337]"
"Albania"," 1992","37.63 [33.61-42.25]","41.58 [36.94-46.9]","33.47 [29.64-37.79]","2 939 [2 626-3 300]","1 682 [1 497-1 899]","1 257 [1 115-1 422]"
"Albania"," 1991","39.14 [34.85-44.01]","43.19 [38.39-48.73]","34.85 [30.84-39.36]","3 128 [2 786-3 516]","1 788 [1 592-2 019]","1 340 [1 187-1 514]"
"Albania"," 1990","40.83 [36.32-45.99]","45.01 [39.94-50.88]","36.42 [32.18-41.25]","3 322 [2 956-3 740]","1 895 [1 685-2 143]","1 427 [1 262-1 616]"
"Albania"," 1989","42.8 [38.05-48.24]","47.09 [41.72-53.33]","38.32 [33.79-43.43]","3 522 [3 134-3 969]","2 005 [1 780-2 272]","1 517 [1 341-1 722]"
"Albania"," 1988","45.16 [40-51.01]","49.47 [43.67-56.21]","40.61 [35.73-46.16]","3 743 [3 318-4 226]","2 125 [1 878-2 413]","1 618 [1 427-1 840]"
"Albania"," 1987","47.9 [42.19-54.49]","52.37 [45.95-59.83]","43.18 [37.73-49.32]","3 973 [3 502-4 514]","2 251 [1 979-2 571]","1 722 [1 507-1 966]"
"Albania"," 1986","51.09 [44.67-58.67]","55.62 [48.44-64.01]","46.28 [40.05-53.45]","4 232 [3 704-4 852]","2 389 [2 085-2 747]","1 843 [1 597-2 126]"
"Albania"," 1985","54.75 [47.18-63.63]","59.45 [51.03-69.32]","49.81 [42.58-58.18]","4 526 [3 907-5 249]","2 550 [2 194-2 968]","1 976 [1 694-2 307]"
"Albania"," 1984","58.91 [49.72-69.75]","63.68 [53.61-75.74]","53.92 [45.16-64.07]","4 831 [4 087-5 704]","2 714 [2 293-3 220]","2 117 [1 781-2 514]"
"Albania"," 1983","63.7 [52.11-77.39]","68.53 [56.05-83.35]","58.56 [47.71-71.34]","5 158 [4 232-6 239]","2 888 [2 371-3 501]","2 270 [1 857-2 756]"
"Albania"," 1982","69.03 [54.73-86.32]","73.8 [58.4-92.49]","63.82 [50.31-80.01]","","",""
"Albania"," 1981","74.79 [57.15-96.96]","79.74 [60.63-103.72]","69.74 [53.05-90.49]","","",""
"Albania"," 1980","81.32 [59.42-109.63]","86.33 [62.71-116.43]","76.24 [55.63-102.84]","","",""
"Albania"," 1979","88.65 [61.47-124.47]","93.29 [64.7-131.52]","83.62 [57.95-117.69]","","",""
"Albania"," 1978","96.36 [63.37-142.01]","101.13 [66.56-149.75]","91.45 [60-135.03]","","",""
"Andorra"," 2021","2.76 [0.73-10.4]","3.08 [0.82-11.61]","2.39 [0.64-9.06]","2 [0-6]","1 [0-3]","1 [0-3]"
"Andorra"," 2020","2.85 [0.78-10.45]","3.17 [0.87-11.69]","2.49 [0.68-9.21]","2 [0-6]","1 [0-4]","1 [0-3]"
"Andorra"," 2019","2.95 [0.83-10.63]","3.3 [0.93-11.93]","2.56 [0.72-9.22]","2 [0-6]","1 [0-4]","1 [0-3]"
"Andorra"," 2018","3.06 [0.88-10.66]","3.44 [0.99-11.96]","2.67 [0.77-9.33]","2 [1-6]","1 [0-4]","1 [0-3]"
"Andorra"," 2017","3.2 [0.97-10.63]","3.57 [1.07-11.92]","2.79 [0.84-9.33]","2 [1-7]","1 [0-4]","1 [0-3]"
"Andorra"," 2016","3.35 [1.07-10.59]","3.74 [1.2-11.88]","2.92 [0.93-9.26]","2 [1-7]","1 [0-4]","1 [0-3]"
"Andorra"," 2015","3.53 [1.2-10.43]","3.95 [1.34-11.67]","3.07 [1.05-9.07]","2 [1-7]","1 [0-4]","1 [0-3]"
"Andorra"," 2014","3.73 [1.36-10.12]","4.17 [1.52-11.4]","3.24 [1.18-8.82]","3 [1-7]","1 [1-4]","2 [0-3]"
"Andorra"," 2013","3.92 [1.54-9.93]","4.4 [1.72-11.18]","3.41 [1.35-8.72]","3 [1-7]","2 [1-4]","1 [0-3]"
"Andorra"," 2012","4.13 [1.74-9.78]","4.62 [1.95-10.92]","3.59 [1.52-8.56]","3 [1-8]","2 [1-4]","1 [1-3]"
"Andorra"," 2011","4.33 [1.95-9.64]","4.89 [2.2-10.92]","3.76 [1.69-8.42]","4 [2-8]","2 [1-5]","2 [1-3]"
"Andorra"," 2010","4.58 [2.19-9.66]","5.17 [2.46-10.97]","3.95 [1.88-8.41]","4 [2-8]","2 [1-5]","2 [1-4]"
"Andorra"," 2009","4.82 [2.41-9.76]","5.45 [2.71-11.02]","4.17 [2.08-8.44]","4 [2-9]","2 [1-5]","2 [1-4]"
"Andorra"," 2008","5.08 [2.64-9.87]","5.74 [3-11.16]","4.37 [2.27-8.49]","4 [2-9]","2 [1-5]","2 [1-4]"
"Andorra"," 2007","5.35 [2.86-10.07]","6.06 [3.23-11.44]","4.61 [2.45-8.67]","5 [2-9]","3 [1-5]","2 [1-4]"
"Andorra"," 2006","5.65 [3.07-10.33]","6.4 [3.48-11.75]","4.87 [2.64-8.91]","5 [3-9]","3 [2-5]","2 [1-4]"
"Andorra"," 2005","5.96 [3.26-10.76]","6.76 [3.7-12.18]","5.11 [2.78-9.27]","5 [3-9]","3 [2-5]","2 [1-4]"
"Andorra"," 2004","6.26 [3.4-11.33]","7.13 [3.88-12.86]","5.34 [2.89-9.72]","5 [3-9]","3 [2-5]","2 [1-4]"
"Andorra"," 2003","6.54 [3.52-11.92]","7.46 [4.02-13.62]","5.59 [3-10.33]","5 [3-9]","3 [2-5]","2 [1-4]"
"Andorra"," 2002","6.87 [3.62-12.88]","7.86 [4.13-14.69]","5.83 [3.07-10.98]","5 [3-10]","3 [2-6]","2 [1-4]"
"Andorra"," 2001","7.22 [3.7-13.84]","8.25 [4.18-15.87]","6.14 [3.14-11.88]","5 [3-10]","3 [2-6]","2 [1-4]"
