"","","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Number of deaths among children under-five","Number of deaths among children under-five","Number of deaths among children under-five"
"Countries, territories and areas","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Bangladesh"," 2021","27.27 [24.64-30.11]","29.23 [26.34-32.41]","25.2 [22.62-27.98]","82 081 [74 150-90 592]","45 069 [40 605-49 936]","37 012 [33 211-41 079]"
"Bangladesh"," 2020","28.77 [26.43-31.28]","30.81 [28.25-33.65]","26.63 [24.3-29.08]","86 804 [79 766-94 374]","47 618 [43 678-51 999]","39 186 [35 760-42 792]"
"Bangladesh"," 2019","30.42 [28.36-32.65]","32.59 [30.24-35.11]","28.17 [26.06-30.37]","91 820 [85 609-98 524]","50 363 [46 758-54 273]","41 457 [38 372-44 708]"
"Bangladesh"," 2018","32.2 [30.36-34.21]","34.43 [32.34-36.7]","29.88 [27.95-31.91]","96 602 [91 108-102 647]","52 886 [49 700-56 379]","43 716 [40 921-46 693]"
"Bangladesh"," 2017","34.07 [32.39-35.91]","36.42 [34.5-38.54]","31.6 [29.82-33.52]","102 420 [97 385-107 948]","56 065 [53 102-59 309]","46 355 [43 739-49 179]"
"Bangladesh"," 2016","35.99 [34.41-37.75]","38.41 [36.56-40.42]","33.46 [31.78-35.29]","108 749 [103 962-114 050]","59 388 [56 541-62 498]","49 361 [46 883-52 061]"
"Bangladesh"," 2015","37.97 [36.42-39.68]","40.5 [38.69-42.49]","35.33 [33.68-37.1]","115 052 [110 356-120 233]","62 740 [59 952-65 818]","52 312 [49 876-54 928]"
"Bangladesh"," 2014","40.02 [38.46-41.72]","42.62 [40.74-44.56]","37.31 [35.65-39.12]","122 217 [117 449-127 393]","66 475 [63 561-69 505]","55 742 [53 275-58 443]"
"Bangladesh"," 2013","42.14 [40.56-43.81]","44.84 [42.96-46.82]","39.3 [37.58-41.12]","129 435 [124 551-134 564]","70 272 [67 288-73 341]","59 163 [56 549-61 880]"
"Bangladesh"," 2012","44.35 [42.73-46.04]","47.15 [45.24-49.13]","41.4 [39.66-43.24]","137 400 [132 366-142 645]","74 407 [71 354-77 497]","62 993 [60 300-65 761]"
"Bangladesh"," 2011","46.68 [45-48.4]","49.6 [47.64-51.62]","43.61 [41.82-45.49]","147 568 [142 229-153 010]","79 776 [76 578-82 976]","67 792 [64 973-70 675]"
"Bangladesh"," 2010","49.15 [47.42-50.96]","52.23 [50.19-54.28]","45.92 [44.12-47.84]","159 767 [154 133-165 644]","86 350 [82 935-89 685]","73 417 [70 497-76 432]"
"Bangladesh"," 2009","51.81 [50.05-53.67]","55.03 [52.97-57.2]","48.4 [46.54-50.38]","173 389 [167 459-179 599]","93 725 [90 133-97 339]","79 664 [76 552-82 845]"
"Bangladesh"," 2008","54.68 [52.84-56.58]","58.03 [55.91-60.27]","51.12 [49.19-53.15]","187 924 [181 595-194 483]","101 536 [97 759-105 365]","86 388 [83 071-89 748]"
"Bangladesh"," 2007","57.74 [55.82-59.72]","61.17 [58.96-63.49]","54.13 [52.12-56.28]","202 587 [195 859-209 553]","109 256 [105 257-113 356]","93 331 [89 824-96 995]"
"Bangladesh"," 2006","61.03 [59-63.11]","64.54 [62.2-66.91]","57.35 [55.26-59.54]","217 963 [210 684-225 366]","117 323 [113 037-121 575]","100 640 [96 948-104 440]"
"Bangladesh"," 2005","64.54 [62.41-66.7]","68.11 [65.67-70.55]","60.8 [58.63-63.09]","234 904 [227 173-242 743]","126 207 [121 658-130 692]","108 697 [104 792-112 759]"
"Bangladesh"," 2004","68.29 [66.07-70.56]","71.8 [69.26-74.4]","64.59 [62.29-67.01]","252 041 [243 841-260 349]","134 993 [130 191-139 792]","117 048 [112 820-121 349]"
"Bangladesh"," 2003","72.28 [69.97-74.63]","75.82 [73.1-78.56]","68.58 [66.12-71.11]","268 158 [259 651-276 846]","143 340 [138 190-148 458]","124 818 [120 346-129 383]"
"Bangladesh"," 2002","76.55 [74.1-79.09]","80.14 [77.32-83]","72.81 [70.21-75.49]","284 192 [275 131-293 516]","151 637 [146 308-156 998]","132 555 [127 823-137 394]"
"Bangladesh"," 2001","81.14 [78.55-83.83]","84.73 [81.75-87.75]","77.4 [74.61-80.19]","300 160 [290 627-310 063]","159 739 [154 138-165 392]","140 421 [135 374-145 459]"
"Bangladesh"," 2000","86.07 [83.34-88.9]","89.68 [86.61-92.86]","82.26 [79.38-85.25]","316 366 [306 435-326 685]","168 022 [162 271-173 902]","148 344 [143 137-153 688]"
