Unnamed: 0,Unnamed: 1,Under-five mortality rate (per 1000 live births) (SDG 3.2.1),Under-five mortality rate (per 1000 live births) (SDG 3.2.1).1,Under-five mortality rate (per 1000 live births) (SDG 3.2.1).2,Number of deaths among children under-five,Number of deaths among children under-five.1,Number of deaths among children under-five.2
"Countries, territories and areas",Year, Both sexes, Male, Female, Both sexes, Male, Female
Australia, 2021,3.71 [3.5-3.94],4.04 [3.8-4.29],3.37 [3.16-3.59],1 111 [1 048-1 178],620 [584-660],491 [460-523]
Australia, 2020,3.74 [3.6-3.89],4.07 [3.9-4.24],3.4 [3.25-3.55],1 130 [1 089-1 174],631 [606-659],499 [477-521]
Australia, 2019,3.75 [3.66-3.86],4.09 [3.96-4.22],3.4 [3.29-3.52],1 171 [1 140-1 203],655 [635-677],516 [498-534]
Australia, 2018,3.76 [3.68-3.85],4.1 [3.98-4.21],3.41 [3.31-3.52],1 183 [1 156-1 210],662 [644-681],521 [505-537]
Australia, 2017,3.78 [3.69-3.86],4.1 [3.99-4.22],3.43 [3.33-3.53],1 169 [1 143-1 195],653 [636-672],516 [501-531]
Australia, 2016,3.81 [3.72-3.9],4.13 [4.02-4.25],3.47 [3.37-3.57],1 168 [1 141-1 195],652 [634-670],516 [502-532]
Australia, 2015,3.87 [3.79-3.96],4.2 [4.08-4.31],3.53 [3.43-3.64],1 171 [1 145-1 197],652 [634-670],519 [504-534]
Australia, 2014,3.98 [3.89-4.07],4.31 [4.19-4.42],3.63 [3.52-3.73],1 202 [1 174-1 229],669 [651-687],533 [518-548]
Australia, 2013,4.13 [4.04-4.21],4.48 [4.36-4.59],3.76 [3.65-3.86],1 258 [1 231-1 285],701 [683-719],557 [541-572]
Australia, 2012,4.32 [4.23-4.41],4.7 [4.59-4.82],3.91 [3.81-4.02],1 304 [1 277-1 332],729 [712-748],575 [560-591]
Australia, 2011,4.54 [4.44-4.63],4.96 [4.84-5.09],4.08 [3.98-4.2],1 354 [1 327-1 383],761 [743-781],593 [578-610]
Australia, 2010,4.77 [4.67-4.86],5.24 [5.12-5.37],4.26 [4.16-4.38],1 412 [1 385-1 441],797 [779-817],615 [599-631]
Australia, 2009,5 [4.9-5.1],5.5 [5.37-5.64],4.47 [4.35-4.59],1 467 [1 438-1 497],829 [810-850],638 [621-656]
Australia, 2008,5.22 [5.12-5.32],5.74 [5.61-5.88],4.67 [4.54-4.79],1 503 [1 475-1 534],849 [829-871],654 [637-672]
Australia, 2007,5.42 [5.31-5.53],5.95 [5.82-6.1],4.86 [4.73-4.98],1 491 [1 462-1 521],841 [822-862],650 [633-667]
Australia, 2006,5.58 [5.48-5.7],6.15 [6-6.29],5 [4.87-5.13],1 472 [1 445-1 502],831 [813-852],641 [624-658]
Australia, 2005,5.72 [5.61-5.83],6.29 [6.14-6.44],5.12 [4.99-5.26],1 467 [1 439-1 496],828 [809-848],639 [622-656]
Australia, 2004,5.83 [5.71-5.94],6.41 [6.26-6.57],5.21 [5.08-5.35],1 462 [1 433-1 491],826 [807-846],636 [620-653]
Australia, 2003,5.91 [5.79-6.02],6.51 [6.35-6.67],5.28 [5.14-5.42],1 473 [1 444-1 502],832 [813-853],641 [624-657]
Australia, 2002,5.99 [5.87-6.1],6.6 [6.44-6.75],5.34 [5.21-5.49],1 483 [1 454-1 512],838 [818-858],645 [629-662]
Australia, 2001,6.08 [5.96-6.2],6.72 [6.56-6.87],5.4 [5.27-5.55],1 503 [1 473-1 533],852 [832-872],651 [635-669]
Australia, 2000,6.19 [6.07-6.31],6.84 [6.68-7],5.5 [5.37-5.65],1 538 [1 510-1 568],871 [852-892],667 [650-684]
Australia, 1999,6.31 [6.2-6.44],6.99 [6.83-7.15],5.61 [5.47-5.76],1 572 [1 543-1 603],891 [871-912],681 [664-698]
